chain-req,countertrace,IDs,Exit Conditions
False,True:⌈(((pitmanArmUpDown = 2) & (! hazardWarningSwitchOn)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-1,(blinkingMode = 1)
False,True:⌈((blinkingMode = 1) & (! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn)))))))⌉:⌈(! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn))))))⌉ ∧ ℓ > 1.0:True,ELS-1,(tipBlinkingCycleStop & directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing & (! darknessModeSwitchOn))
True,True:True:⌈(! tipBlinkingCycleStop)⌉:⌈((! tipBlinkingCycleStop) & (! (blinkingMode = 3)))⌉:⌈((! tipBlinkingCycleStop) & (blinkingMode = 3))⌉ ∧ ℓ < 3.0:⌈((! tipBlinkingCycleStop) & (! (blinkingMode = 3)))⌉:True,ELS-2,(tipBlinkingCycleStop | (blinkingMode = 3))
False,True:⌈((blinkingMode = 3) & (! (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing))))⌉:⌈(! (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing)))⌉ ∧ ℓ > 1.0:True,ELS-2,(directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing)
False,True:⌈(((pitmanArmUpDown = 1) & (! hazardWarningSwitchOn)) & (! (blinkingMode = 3)))⌉:⌈(! (blinkingMode = 3))⌉ ∧ ℓ > 1.0:True,ELS-2,(blinkingMode = 3)
False,True:⌈(hazardWarningSwitchOn & (! ((blinkingMode = 5) & tipBlinkingCycleStop)))⌉:⌈(! ((blinkingMode = 5) & tipBlinkingCycleStop))⌉ ∧ ℓ > 1.0:True,ELS-3,((blinkingMode = 5) & tipBlinkingCycleStop)
False,True:⌈(pitmanArmUpDown = 1)⌉ ∧ ℓ ≥ 1/2:⌈(! (blinkingMode = 1))⌉:True,ELS-4,(blinkingMode = 1)
False,True:⌈(! (((marketCode = 1) | (marketCode = 2)) & ((blinkingMode = 1) | (blinkingMode = 2))))⌉:⌈((((marketCode = 1) | (marketCode = 2)) & ((blinkingMode = 1) | (blinkingMode = 2))) & (! (daytimeRunningLightLeft = 50)))⌉:⌈(! (daytimeRunningLightLeft = 50))⌉ ∧ ℓ > 1.0:True,ELS-6,(daytimeRunningLightLeft = 50)
False,True:⌈(((blinkingMode = 1) & (pitmanArmUpDown = 1)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-7,(blinkingMode = 1)
False,True:⌈(((blinkingMode = 1) & (pitmanArmUpDown = 2)) & (! (blinkingMode = 1)))⌉:⌈(! (blinkingMode = 1))⌉ ∧ ℓ > 1.0:True,ELS-7,(blinkingMode = 1)
False,True:⌈(hazardWarningSwitchOn & (! (blinkingMode = 5)))⌉:⌈(! (blinkingMode = 5))⌉ ∧ ℓ > 1.0:True,ELS-8,(blinkingMode = 5)
False,True:⌈((blinkingMode = 5) & (! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (directionIndicatorFrontRightFlashing & (directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing))))))))⌉:⌈(! (tipBlinkingCycleStop & (directionIndicatorFrontLeftFlashing & (directionIndicatorExteriorMirrorLeftFlashing & (directionIndicatorRearLeftFlashing & (directionIndicatorFrontRightFlashing & (directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing)))))))⌉ ∧ ℓ > 1.0:True,ELS-8,(tipBlinkingCycleStop & directionIndicatorFrontLeftFlashing & directionIndicatorExteriorMirrorLeftFlashing & directionIndicatorRearLeftFlashing & directionIndicatorFrontRightFlashing & directionIndicatorExteriorMirrorRightFlashing & directionIndicatorRearRightFlashing)
False,True:⌈(((keyState = 2) & ((lightRotarySwitch = 2) & (! overvoltage))) & (! ((lowBeamLeft = 100) & (lowBeamRight = 100))))⌉:⌈(! ((lowBeamLeft = 100) & (lowBeamRight = 100)))⌉ ∧ ℓ > 1.0:True,ELS-14,((lowBeamLeft = 100) & (lowBeamRight = 100))
False,True:⌈(((keyState = 1) & ((lightRotarySwitch = 2) & ((! ambientLightSwitchOn) & SomeRandomVariable))) & (! ((lowBeamLeft = 50) & (lowBeamRight = 50))))⌉:⌈(! ((lowBeamLeft = 50) & (lowBeamRight = 50)))⌉ ∧ ℓ > 1.0:True,ELS-15,((lowBeamLeft = 50) & (lowBeamRight = 50))
False,True:⌈(((! (keyState = 2)) & ((lightRotarySwitch = 1) & ((! ambientLightSwitchOn) & (! overvoltage)))) & (! ((lowBeamLeft = 0) & (lowBeamRight = 0))))⌉:⌈(! ((lowBeamLeft = 0) & (lowBeamRight = 0)))⌉ ∧ ℓ > 1.0:True,ELS-16,((lowBeamLeft = 0) & (lowBeamRight = 0))
True,True:⌈(keyState = 2)⌉:⌈(! (keyState = 0))⌉:⌈((! (keyState = 0)) & ((daytimeRunningLightSwitchOn & ((! ambientLightSwitchOn) & ((keyState = 1) | (keyState = 2)))) & (! ((100 < lowBeamLeft) & ((100 < lowBeamRight) & ((100 < daytimeRunningLightLeft) & (100 < daytimeRunningLightRight)))))))⌉:⌈((! (keyState = 0)) & (! ((100 < lowBeamLeft) & ((100 < lowBeamRight) & ((100 < daytimeRunningLightLeft) & (100 < daytimeRunningLightRight))))))⌉ ∧ ℓ > 1.0:True,ELS-17,((keyState = 0) | ((! (lowBeamLeft <= 100)) & (! (lowBeamRight <= 100)) & (! (daytimeRunningLightLeft <= 100)) & (! (daytimeRunningLightRight <= 100))))
True,True:⌈(brightnessSensor < 200)⌉:⌈(! (250 < brightnessSensor))⌉:⌈((! (250 < brightnessSensor)) & (((lightRotarySwitch = 1) & (keyState = 2)) & (! ((100 < lowBeamLeft) & (100 < lowBeamRight)))))⌉:⌈((! (250 < brightnessSensor)) & (! ((100 < lowBeamLeft) & (100 < lowBeamRight))))⌉ ∧ ℓ > 1.0:True,ELS-18,((! (brightnessSensor <= 250)) | ((! (lowBeamLeft <= 100)) & (! (lowBeamRight <= 100))))
