Id,Description,Type,Tags,Status,Formalization,Notes
other001,"driverPosition holds the information, if the car is configured for left-hand or right-hand traffic.",Other,,,,
other002,"The Boolean armoredVehicle indicates, if the current car is an armored vehicle or not.",Other,,,,
other003,"The marketCode parameter specifies the market for which the car is to be built. Some example codes are: 001 = USA, 002 = Canada, 003 = EU.",Other,,,,
other004,"The headlights of a modern car are no longer simply switched on and off by a simple mechanical switch, but the exterior light system integrates various subsystems, like the control of turn signals and comfort functions such as a cornering light. Specifically the following light system functions, among others, are described in detail in this study:

- Turn Signal: Control of the driving direction indicators. 
- Low beam headlights: Control of the low beam headlights. If daytime running light is activated, low beam headlights are active all the time and ambient light illuminates the vehicle surrounding while leaving the car during darkness. The function low beam headlight also includes parking light. 
- Cornering light: Control of additional headlights that illuminate the cornering area separately when turning left or right. 
- Adaptive high beam: Control of the high beam headlights. 
- Emergency brake light: Following drivers are warned by a flashing brake light in case of an emergency brake.",Other,,,,
other005,"The light rotary switch has the following positions: Off, Auto, On (see Fig. 2). The light rotary switch position is transmitted via the signal lightRotarySwitch.
The control lever attached to the steering column is called pitman arm and allows for the following movements (see Fig. 3). The pitman arm position is transmitted via the signal pitmanArm.

- By pushing away from the driver 4 (backward): Permanent activation of the adaptive high beam (with pitman arm engaged).
- By pulling towards the driver 1 (forward): Temporary activation of the high beam (without engaging, so-called flasher).
- By moving up or down 2 / 3 : Temporary or permanent activation of the direction indicator to the left or right. The temporary activation (so called tip-blinking) happens by a deflection of about 5 (Downward5, Upward5), the permanent activation (engage) by about 7 deflection (Downward7, Upward7). The engagement is released either manually or automatically by a mechanical reset mechanism if the steering wheel has been turned more than 10.
- The neutral position of the pitman arm is signaled by Neutral.",Other,,,,
other006,"The Hazard Warning Light Switch (see Fig. 4, hazardWarningSwitchOn) is just like the Darkness Switch (only available at armored vehicles, see Fig. 5, darknessModeSwitchOn) a simple toggle switch which turns on the corresponding function when pushed (value True) and turns it off when pushed again (value False).
The user can activate or deactivate the functions daytime running light and ambient light in the instrument cluster settings menu (which is not described in this specification). The instrument cluster settings are transmitted via daytimeLights and ambientLighting.",Other,,,,
other007,"Besides the elements that can be manipulated by the user, several sensors are necessary to provide the desired features.
- Status and position of the key (and thus the information, if the ignition is on). This information is transmitted via keyState and has the values NoKeyInserted, KeyInserted, KeyInIgnitionOnPosition. 
- Engine status engineOn (True, False). 
- Brightness of the environment brightnessSensor, offering the measured outside brightness in values 0 to 100000. 
- Deflection of the brake pedal brakePedal, where 0 means no deflection and 225 means a maximum deflection of 45. 
- Available battery voltage voltageBattery, measured in 0.1V. 
- Angle of the steering wheel steeringAngle. 
- Information about the status of the doors (open or closed). For the sake of simplicity there is only the information available if all doors are closed or not (via allDoorsClosed). 
- A camera to detect oncoming vehicles, signaled via oncommingTraffic. The state of the camera (Ready, Dirty, NotReady) is signaled via cameraState. 
- The current vehicle speed is available via currentSpeed. 
- If the reverse gear is engaged, reverseGear becomes True.",Other,,,,
other008,"Figure 6 schematically shows the possible positions A (front), B (exterior mirror), C (rear), and D (rear center) of exterior lighting elements of a vehicle. The following lighting actuators (Details about the design of the lighting elements are regulated by the directive 93/92/EEC) are installed at the given positions (each left and right, except D which exists only once):
- Direction indicator (blinker) (A, B, C), controlled via the signals blinkLeft and blinkRight.
- Headlights for low beam headlight (A), controlled via lowBeamLeft and lowBeamRight.
- Headlights for high beam headlight (A), controlled via highBeamOn to activate and deactivate the high beam, highBeamRange to control the high beam luminous, and highBeamMotor to control the high beam illumination distance.
- Lamp for cornering light left or right (integrated in front bumper) (A), controlled via corneringLightLeft and corneringLightRight.
- Brake lamp (C,D), controlled via brakeLight 
- Tail lamp (C), controlled via tailLampLeft and tailLampRight. 
- Reverse lamp (C), controlled via reverseLight.
Cars that are sold in USA or Canada do not have a separate direction indicator at position C. Here, the tail lamps take on the task of the rear indicator lamps.",Other,,,,
other009,"Direction blinking. The function direction blinking defines different ways to indicate the desired direction of the driver at crossings or at lane changes. It is only available, if the ignition is on (KeyInIgnitionOnPosition).",Other,,,,
ELS-1,"Direction blinking left: When moving the pitman arm in position \"turn left\" 3, the vehicle flashes all left direction indicators (front left, exterior mirror left, rear left) synchronously with pulse ratio bright to dark 1:1 and a frequency of 1.0 Hz ± 0.1 Hz (i.e. 60 flashes per minute ± 6 flashes).",Ignore,,,,
ELS-1-A,"Direction blinking left: When moving the pitman arm in position direction blinking left, the vehicle flashes all left direction indicators (front left, exterior mirror left, rear left) synchronously with pulse ratio bright to dark 1:1 and a frequency of 1.0 Hz ± 0.1 Hz (i.e. 60 flashes per minute ± 6 flashes).",ELS,,,,
ELS-2,"Tip-blinking left: If the driver moves the pitman arm for less than 0.5 seconds in position \"Tip-blinking left\", all left direction indicators (see Req. ELS-1) should flash for three flashing cycles.",Ignore,,,,
ELS-2-A,"Tip-blinking left: If the driver moves the pitman arm for less than 0.5 seconds in position tip-blinking left, all left direction indicators (front left, exterior mirror left, rear left) should flash for three flashing cycles.",ELS,,,,
ELS-3,"If the driver activates the pitman arm in another direction or activates the hazard warning light switch during the three flashing cycles of the tip-blinking, the tip-blinking cycle must be stopped and the requested flashing cycle must be released (i.e. direction blinking, tip-blinking, or hazard warning light, depending on the interrupting request).",Ignore,,,,
ELS-3-A,"If the driver activates the pitman arm in another direction (direction blinking left, direction blinking right, tip-blinking right) or activates the hazard warning light switch during the three flashing cycles of the tip-blinking left, the tip-blinking cycle must be stopped and the requested flashing cycle must be released (i.e. direction blinking left, direction blinking right, tip-blinking right, or hazard warning light, depending on the interrupting request).",ELS,,,,
ELS-4,"If the driver holds the pitman arm for more than 0.5 seconds in position \"tip-blinking left\", flashing cycles are released for all direction indicators on the left (see Req. ELS-1) until the pitman arm leaves the position \"tip-blinking left\".",Ignore,,,,
ELS-4-A,"If the driver holds the pitman arm for more than 0.5 seconds in position tip-blinking left, flashing cycles are released for all direction indicators on the left (front left, exterior mirror left, rear left) until the pitman arm leaves the position tip-blinking left.",ELS,,,,
ELS-5,Direction blinking right and tip-blinking right: Analogous to the left side (see Req. Req. ELS-1 to Req. ELS-4).,Ignore,,,,
ELS-5-A,"Direction blinking right: When moving the pitman arm in position direction blinking right, the vehicle flashes all right direction indicators (front right, exterior mirror right, rear right) synchronously with pulse ratio bright to dark 1:1 and a frequency of 1.0 Hz ± 0.1 Hz (i.e. 60 flashes per minute ± 6 flashes).",ELS,,,,
ELS-5-B,"Tip-blinking right: If the driver moves the pitman arm for less than 0.5 seconds in position tip-blinking right, all right direction indicators (front right, exterior mirror right, rear right) should flash for three flashing cycles.",ELS,,,,
ELS-5-C,"If the driver activates the pitman arm in another direction (direction blinking left, direction blinking right, tip-blinking left) or activates the hazard warning light switch during the three flashing cycles of the tip-blinking right, the tip-blinking cycle must be stopped and the requested flashing cycle must be released (i.e. direction blinking left, direction blinking right, tip-blinking left, or hazard warning light, depending on the interrupting request).",ELS,,,,
ELS-5-D,"If the driver holds the pitman arm for more than 0.5 seconds in position tip-blinking right, flashing cycles are released for all direction indicators on the right (front right, exterior mirror right, rear right) until the pitman arm leaves the position tip-blinking right.",ELS,,,,
ELS-6,"For cars sold in USA and Canada, the daytime running light must be dimmed by 50% during direction blinking on the blinking side.",Ignore,,,,
